+ perl -e 'alarm shift; exec @ARGV' -- 1200 ./gradlew runRepertoire
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,11,1045,3.6302583085758E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0,1
0,1,12,1227,3.928894759127859E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",24.0,1
0,2,14,3017,4.016005247246355E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",28.0,1
0,3,15,3579,4.189959626661016E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",33.0,1
0,4,19,5278,4.253019014017595E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",36.0,1
0,5,20,8376,4.268859135774691E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",38.0,1
0,6,20,14650,4.263846037521659E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",43.0,1
0,7,19,21850,4.300605814976685E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",49.0,1
0,8,19,34508,4.289117862364178E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",52.0,1
0,9,20,62728,4.337642652220412E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1579,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",50.0,1
