+ perl -e 'alarm shift; exec @ARGV' -- 1200 ./gradlew runRepertoire
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,16,11967,3.063174990979336E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",16.0,1
0,1,16,11785,3.060648629876535E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0,1
0,2,16,16003,3.0572801484061338E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",20.0,1
0,3,16,19314,3.0530695465681326E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",21.0,1
0,4,16,28607,3.047174703994931E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",21.0,1
0,5,16,32262,3.040437741054129E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",21.0,1
0,6,18,36833,3.0341658851277716E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0,1
0,7,18,44371,3.024688854392826E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0,1
0,8,20,66211,3.015777344583546E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0,1
0,9,20,93896,2.9959407659471326E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",17.0,1
0,10,20,97243,2.9754711050138123E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0,1
0,11,20,90772,2.9562676086743057E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",21.0,1
0,12,20,105666,2.9349510244306877E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",25.0,1
0,13,20,141543,2.9049455666771658E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",24.0,1
0,14,20,173516,2.8683896216675926E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",22.0,1
0,15,20,194557,2.8271849437666286E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1037,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0,1
../run-this-script-from-inside-repertoire.sh: line 7: 93665 Alarm clock: 14         perl -e 'alarm shift; exec @ARGV' -- "$@"
