+ perl -e 'alarm shift; exec @ARGV' -- 1200 ./gradlew runRepertoire
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,9,809,1.6640027927789403E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",18.0,1
0,1,9,1140,1.6639343090362802E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",25.0,1
0,2,12,2359,1.6651292103288004E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",29.0,1
0,3,13,2721,1.6651561151640242E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",30.0,1
0,4,13,4585,1.6651134903826805E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",29.0,1
0,5,13,8849,1.6644954308184903E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",29.0,1
0,6,20,11192,1.6642824663070517E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",28.0,1
0,7,18,13633,1.663320258998662E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",28.0,1
0,8,16,12741,1.6624267807837289E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",29.0,1
0,9,17,13952,1.6617140652793994E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"561,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",30.0,1
