> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,8,654,2.160759754632601E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",10.0,1
0,1,8,236,2.160759754632601E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",11.0,1
0,2,16,326,2.1931424512914103E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",13.0,1
0,3,10,627,2.2052269063760765E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",16.0,1
0,4,13,1231,2.2100302532009818E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0,1
0,5,16,2549,2.211840987922959E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",24.0,1
0,6,16,4595,2.2112211075462513E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",27.0,1
0,7,15,7068,2.212828662307001E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",30.0,1
0,8,14,9049,2.2117106186058484E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",33.0,1
0,9,14,15064,2.2098472124372613E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"747,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",34.0,1
