+ perl -e 'alarm shift; exec @ARGV' -- 1200 ./gradlew runRepertoire
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,8,982,9672369.968179945,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",9.0,1
0,1,3,526,9677105.647954544,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",10.0,1
0,2,3,521,9676932.147954546,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",10.0,1
0,3,4,433,9677125.265083201,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",11.0,1
0,4,4,360,9677125.265083201,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",12.0,1
0,5,4,293,9676952.623641599,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",13.0,1
0,6,4,163,9676952.623641599,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",13.0,1
0,7,4,117,9676952.623641599,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",14.0,1
0,8,4,137,9676952.623641599,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",13.0,1
0,9,4,191,9676952.623641599,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",11.0,1
0,10,4,177,9676952.623641599,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",10.0,1
0,11,4,133,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",8.0,1
0,12,4,139,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",8.0,1
0,13,4,130,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",7.0,1
0,14,4,147,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",7.0,1
0,15,4,122,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",7.0,1
0,16,4,148,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",7.0,1
0,17,4,164,9676779.9822,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"324,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.0,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",7.0,1
