+ perl -e 'alarm shift; exec @ARGV' -- 1200 ./gradlew runRepertoire
> Task :compileJava UP-TO-DATE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runRepertoire
trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,window,buildProb,runtimeKill,trimmerChance,scenario,averageSize,scenarioMutations
0,0,10,812,2.8171203017599083E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",19.0,1
0,1,11,689,2.861176571683785E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",25.0,1
0,2,15,1617,2.951669121033003E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",30.0,1
0,3,15,2799,2.9512713956581485E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",33.0,1
0,4,17,6370,2.951441175967734E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",37.0,1
0,5,17,9853,2.94945096622215E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",40.0,1
0,6,17,18211,2.9458685886800986E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",43.0,1
0,7,15,26124,2.94069404334158E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",44.0,1
0,8,18,31932,2.935891522152265E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",45.0,1
0,9,18,41580,2.9277249350529898E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",47.0,1
0,10,19,57336,2.9178831678941533E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",47.0,1
0,11,20,69470,2.9080776939978648E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",47.0,1
0,12,18,91096,2.8898977004671473E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",51.0,1
0,13,18,167842,2.856334635487362E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",53.0,1
0,14,17,268921,2.8032013875098363E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",53.0,1
0,15,19,301784,2.7436504064574018E7,-1.0,-1.0,scratch,repertoire,10000,0.9,0.75,0.1,"1000,false,0.5,0.7,1.0,0.5,150.0,200.0,300.0,80.0,3.0,1.5384615384615385,2.4203402372629745,3.2,0.05,0.01,0.05,0.05,0.1,0.1,1.0,0.0",53.0,1
../run-this-script-from-inside-repertoire.sh: line 7: 96219 Alarm clock: 14         perl -e 'alarm shift; exec @ARGV' -- "$@"
